Console,Abbreviation,Sales_2008,Sales_2009,Sales_2010,Sales_2011,Sales_2012,Sales_2013,Sales_2014,Sales_2015,Sales_2016,Sales_2017
Playstation 4,PS4,0,0,0,0,0,4.49,14.59,17.51,17.59,19.64
Nintendo switch,NS,0,0,0,0,0,0,0,0,0,11.85
Xbox one,Xone,0,0,0,0,0,3.08,7.91,8.63,8.37,8.21
Nintendo 3ds,3DS,0,0,0,12.56,13.48,14.31,9.74,7.33,7.59,6.19
Playstation vita,PSV,0,0,0,0.48,3.69,4.3,2.3,2.68,2.04,0.72
Playstation 3,PS3,10.46,13.26,13.83,14.42,11.97,8.26,3.56,1.34,0.52,0.11
Nintendo wii u,WiiU,0,0,0,0,2.17,3.1,3.64,3.46,1.16,0.1
Xbox 360,X360,11.16,10.36,13.53,13.95,10.69,6.24,2.6,0.93,0.39,0.06
PSP,PSP,14.05,9.92,9.36,7.38,4.22,2.97,0.39,0,0,0
Nintendo wii ,Wii,24.09,21.05,17.26,11.49,5.08,1.95,0.52,0.07,0,0
Nintendo ds,DS,29.47,27.28,20.55,8.76,3.01,0.82,0,0,0,0
